"Wavelength, µm","n","k"
0.43,2.5802636648363
0.4637,2.519419405954
0.4974,2.4770803304568
0.5311,2.4459251884474
0.5648,2.4220747654883
0.5985,2.4032651565103
0.6322,2.3880798545617
0.6659,2.375584723048
0.6996,2.3651378817644
0.7333,2.3562834490343
0.767,2.3486887206904
0.8007,2.3421052907774
0.8344,2.3363440581674
0.8681,2.3312586366906
0.9018,2.3267340375073
0.9355,2.3226787630721
0.9692,2.3190191687128
1.003,2.3156859529349
1.037,2.3126237066748
1.07,2.3098908675469
1.104,2.307287821516
1.138,2.3048715879655
1.171,2.3026816294323
1.205,2.300564686051
1.239,2.2985713807931
1.273,2.2966862464432
1.306,2.2949473549167
1.34,2.2932380146886
1.374,2.2916021518028
1.407,2.2900763012399
1.441,2.288560417355
1.475,2.2870948076527
1.508,2.2857146539386
1.542,2.2843310765766
1.576,2.2829817460061
1.61,2.281662404438
1.643,2.2804069390606
1.677,2.2791359276647
1.711,2.2778847080283
1.744,2.2766865912883
1.778,2.2754665207527
1.812,2.2742587712706
1.845,2.2730963759455
1.879,2.2719070587447
1.913,2.270724477082
1.947,2.2695470719374
1.98,2.2684078961713
2.014,2.2672366334606
2.048,2.2660666520612
2.081,2.2649312610743
2.115,2.2637606558
2.149,2.2625882996586
2.182,2.2614479272491
2.216,2.2602696399748
2.25,2.259087205426
2.284,2.2578999303097
2.317,2.2567423351779
2.351,2.2555436764214
2.385,2.2543383880422
2.418,2.2531617127694
2.452,2.2519418581375
2.486,2.250713913203
2.519,2.2495139383492
2.553,2.2482688116422
2.587,2.2470143862501
2.621,2.2457503017876
2.654,2.2445138369921
2.688,2.2432297407819
2.722,2.2419350285518
2.755,2.2406679703122
2.789,2.2393515070886
2.823,2.2380236120689
2.856,2.2367236052012
2.89,2.2353724671494
2.924,2.2340091929838
2.958,2.2326335664979
2.991,2.231286390871
3.025,2.2298858254274
3.059,2.228472317376
3.092,2.2270878322799
3.126,2.2256482897279
3.16,2.2241952797022
3.193,2.2227719704578
3.227,2.2212919457658
3.261,2.2197979810824
3.295,2.2182899272279
3.328,2.2168126170811
3.362,2.2152763793536
3.396,2.2137256339962
3.429,2.2122064984652
3.463,2.2106267767918
3.497,2.2090321601142
3.53,2.2074700816445
3.564,2.2058457509203
3.598,2.204206162548
3.632,2.202551199072
3.665,2.200930098238
3.699,2.199244500694
3.733,2.1975431904842
3.766,2.1958767880771
3.8,2.194144193137